通算盗塁数一位は誰？,2,西川遥輝,福本豊,イチロー,片岡浩大
通算ホームラン数一位は誰？,1,王貞治,中村剛也,清原和博,松井秀喜
通算勝利数一位は誰？,1,金田正一,ダルビッシュ有,米田哲也,沢村栄治
通算セーブ数一位は誰？,2,デニス･サファテ,岩瀬仁紀,藤川球児,マーク･クルーン
通算安打数一位は誰？,3,張本勲,王貞治,イチロー,青木宣親
通算打点一位は誰？,3,落合博満,野村克也,王貞治,長嶋茂雄
最後の三冠王達成者は誰？,2,ランディ・バース,松中信彦,柳田悠岐,落合博満
通算打率一位は誰？,3,張本勲,青木宣親,レロン･リー,川上哲治
通算二塁打一位は誰？,2,金本知憲,立浪和義,坂本勇人,福本豊
通算死球数一位は誰？,3,衣笠祥雄,阿部慎之助,清原和博,中島裕之
連続試合盗塁を記録したのは誰？,1,周東右京,西川遥輝,福本豊,鈴木尚大
通算監督勝利数一位は誰？,4,落合博満,原辰徳,古葉竹識,鶴岡一人
シーズン　打率.279、本塁打29、打点147を残した選手は誰？,2,タイロン･ウッズ,今岡誠,村田修一,和田一浩
１３球団から勝利を記録した投手は誰？,1,工藤公康,山本昌,スタルヒン,ダルビッシュ有
打者０人で勝利投手になった人は誰？,3,岩瀬仁紀,永川勝浩,小林雅英,岡島秀樹
連続打席無本塁打を記録した選手は誰？,4,岡田幸文,東出輝裕,松本哲也,赤星憲弘
一イニングに三打席記録した人は誰？,2,秋山翔吾,大松尚逸,亀井善之,桑原将志
連続打席無打点を記録した人は誰？,3,赤松真人,鈴木尚広,植田海,英智
連続打席無三振を記録した人は誰？,3,張本勲,近藤健介,イチロー,前田智徳
右打者最高打率を達成した人は誰？,1,内川聖一,鈴木誠也,アレックス・ラミレス,山田哲人
